iter	Logloss
0	0.6843229703
1	0.6683585303
2	0.6559034756
3	0.6410398483
4	0.6254519054
5	0.6176661764
6	0.6066252845
7	0.5963047573
8	0.5923805237
9	0.5882872173
10	0.5785179138
11	0.5744323049
12	0.5535336903
13	0.5456599508
14	0.5411459378
15	0.531450476
16	0.5214787211
17	0.5140136991
18	0.5051751137
19	0.4982199328
20	0.4890257972
21	0.484529904
22	0.4738292013
23	0.4690627371
24	0.4558899743
25	0.4504595825
26	0.4447210516
27	0.4348216397
28	0.4308811256
29	0.4269044059
30	0.4220526559
31	0.4176326479
32	0.4116761684
33	0.4035158498
34	0.3952831541
35	0.3906691415
36	0.386506319
37	0.3786528111
38	0.3743697235
39	0.3713019916
40	0.366912944
41	0.3648297446
42	0.3618314607
43	0.3591901234
44	0.3555780819
45	0.3507340295
46	0.3457767282
47	0.3437884876
48	0.3389446735
49	0.3355451652
50	0.3324509348
51	0.3271096775
52	0.3239415373
53	0.3196575982
54	0.3170774324
55	0.3108421053
56	0.3073826517
57	0.3027123043
58	0.2997433799
59	0.2975130081
60	0.2952361107
61	0.2932378224
62	0.2915545872
63	0.2893679483
64	0.2872448649
65	0.283591015
66	0.2768065759
67	0.2737842117
68	0.2679792813
69	0.2658194133
70	0.2608020306
71	0.25872159
72	0.2575830051
73	0.254895602
74	0.2519449336
75	0.25003188
76	0.2473083224
77	0.2454443319
78	0.243698631
79	0.2396275486
80	0.2376081603
81	0.2343386071
82	0.2324932643
83	0.2315141473
84	0.2297745602
85	0.2275896754
86	0.2227526392
87	0.220376185
88	0.2185263293
89	0.2171899591
90	0.2150695665
91	0.2114313671
92	0.2090989522
93	0.2078624623
94	0.2059464114
95	0.2039001669
96	0.2010149445
97	0.1999241625
98	0.1983128616
99	0.1968722684
100	0.1949458122
101	0.1923791681
102	0.1896651813
103	0.1874706745
104	0.1853927544
105	0.184237378
106	0.1811895541
107	0.178804057
108	0.1767176219
109	0.1742031234
110	0.1715586526
111	0.1700289931
112	0.1680916718
113	0.1660079956
114	0.1642446177
115	0.1633753095
116	0.1608887059
117	0.1593539374
118	0.1576696464
119	0.1563071183
120	0.1540881906
121	0.15253113
122	0.1499703271
123	0.1490099771
124	0.1458058528
125	0.1443429334
126	0.1425518819
127	0.1399290647
128	0.1379025153
129	0.1367192779
130	0.1352879831
131	0.1329825435
132	0.1303592409
133	0.1288417152
134	0.1270507404
135	0.1258423499
136	0.1250937666
137	0.1231754933
138	0.122436583
139	0.1211614864
140	0.120001827
141	0.1179659878
142	0.1172350815
143	0.1159357684
144	0.1142960106
145	0.1127576658
146	0.1118041618
147	0.1111146041
148	0.109445623
149	0.1079073974
150	0.1067390612
151	0.1058881368
152	0.1041249463
153	0.1026280607
154	0.1007397856
155	0.09909004825
156	0.09810139452
157	0.09679487773
158	0.09553098679
159	0.09454895769
160	0.09353602784
161	0.09227061272
162	0.09178674221
163	0.09040038075
164	0.08881596157
165	0.08778870106
166	0.08700361422
167	0.08598414489
168	0.08484330348
169	0.0841408968
170	0.08261494977
171	0.0817957265
172	0.08113018104
173	0.07990964821
174	0.07910277162
175	0.07808711699
176	0.07706194265
177	0.07644287177
178	0.07542656149
179	0.0746061291
180	0.07345045464
181	0.07279718774
182	0.07206237316
183	0.0715331861
184	0.07104613526
185	0.07037537439
186	0.06993581993
187	0.06911854233
188	0.06890241163
189	0.06837658371
190	0.06798934085
191	0.06764268024
192	0.06690820626
193	0.06623897382
194	0.06575975248
195	0.06489345006
196	0.06439823764
197	0.06384966629
198	0.06302435909
199	0.06241853748
